UKPRN,HE Provider,Title,Subtitle,Reference ID,Data source,Data source link,Date,Region of HE provider,Level of study,Mode of study,Academic year,Country,Headcount
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,UK,1945
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Part-time,2021/22,UK,2565
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,UK,19100
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Egypt,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Ghana,15
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Kenya,15
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Morocco,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Nigeria,50
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Tanzania,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Part-time,2021/22,Ghana,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Part-time,2021/22,Kenya,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Part-time,2021/22,Nigeria,15
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Part-time,2021/22,South Africa,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,Egypt,10
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,Kenya,45
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,Mauritius,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,Morocco,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,Nigeria,20
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,South Africa,10
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,Tanzania,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,Uganda,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,Zambia,5
10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,Zimbabwe,5
